zip_code,latitude,longitude,cidade
29609,34.877223923901006,-82.38903711121785,Greenville
29687,34.99072574853474,-82.32789512536979,Greenville County
78940,29.932589689247312,-96.66744254086021,Fayette County
83646,43.641403449228804,-116.40898659726419,Meridian
92003,33.28400756036364,-117.20479129,San Diego County
29615,34.86061831444788,-82.32993029432404,Wade Hampton
98292,48.23284632932331,-122.32858446015038,Stanwood
92630,33.641487990418085,-117.68944235299502,Lake Forest
77406,29.65352675109489,-95.75597536058393,Fort Bend County
28031,35.46831924960937,-80.88035860273438,Mecklenburg County
750386319,,,
34134,26.35737984473068,-81.82314064238876,Bonita Springs
77062,29.575666652653062,-95.13175817183674,Houston
92691,33.61528449117439,-117.66522024066563,Mission Viejo
80111,39.61012453063691,-104.88302663033697,Greenwood Village
21035,38.92741960567376,-76.62100042801418,Anne Arundel County
76054,32.855311075268816,-97.17735768960574,Hurst
35806,34.76047345840131,-86.68413410032626,Madison County
02453,42.37035557735849,-71.23377474433963,Waltham
53092,43.212617711722245,-87.93956129878049,Mequon
53018,43.05352175145996,-88.39467407736339,Delafield
81632,39.64167774852941,-106.59367901029411,Eagle County
53188,43.0205625425607,-88.2706818300771,Waukesha
05446,44.52701877011494,-73.18910978160919,Colchester
95076,36.93000042145594,-121.76536540957854,Watsonville
18414,41.53642100555556,-75.72247104166667,Dalton
37643,36.34867813955659,-82.2014951437573,Elizabethton
59405,47.49585412133333,-111.26480383933334,Great Falls
31602,30.86629925876923,-83.30458466861539,Valdosta
41105,38.4351446,-82.7048088,Boyd County
47906,40.45786141508101,-86.92267515334441,West Lafayette
27560,35.87577548807905,-78.83120476923077,Durham
85546,32.8231849,-109.71573218415843,Safford
32569,30.41436129738562,-86.71571341437908,Okaloosa County
92801,33.84497004611318,-117.95401745239697,Anaheim
24541,36.577377262063955,-79.43370877703488,Danville
54452,45.13146844138641,-89.68751193582705,Town of Scott
02171,42.279033355172416,-71.02610138275861,Quincy
39442,31.699641,-89.082207,Jones County
06442,41.343476083349564,-72.44441905666991,Essex
77546,29.525204879848488,-95.19324184560607,Friendswood
04860,43.96431788463612,-69.22378687771787,Saint George
04112,43.653509,-70.261578,Portland
70471,30.400359695483868,-90.0823564916129,St. Tammany Parish
98072,47.745372729223746,-122.15831369166668,King County
04476,44.471865417832646,-68.71437327942387,Penobscot
04097,43.845278277478585,-70.23667302937577,North Yarmouth
19958,38.755563802735224,-75.15451011805251,Sussex County
03801,43.07212575314354,-70.7785293752076,Portsmouth
08055,39.86353212989753,-74.8281903153707,Medford Township
02835,41.5329662707483,-71.37535063809524,Jamestown
19342,39.89932477796102,-75.51012243853073,Concord Township
06443,41.30934707410081,-72.61513176451398,Madison
02915,41.78316691111111,-71.36404126666666,East Providence
21663,38.787101460683765,-76.22583402051282,St. Michaels
19966,38.607472961239985,-75.24871536667018,Sussex County
19968,38.76694549136395,-75.27880679698423,Sussex County
09382,48.035364,-122.9613741,Clallam County
33461,26.618913000567108,-80.09557145236296,Palm Springs
19802,39.754260947557,-75.5291360058632,Wilmington
70586,30.707730086730766,-92.30287101903846,Evangeline Parish
71325,31.018313385000003,-92.3160223,Rapides Parish
70591,30.236610432026144,-92.82233630261437,Welsh
70535,30.48675505410156,-92.41827852949218,Eunice
70542,30.022130577319587,-92.55341675979382,Vermilion Parish
70602,30.2075435,-93.1636488,Lake Charles
70605,30.16742656397163,-93.24932058297873,Calcasieu Parish
70631,29.79025098791209,-93.31857118791208,Cameron
40536,38.03041435,-84.50803535,University of Kentucky
31794,31.45596255357143,-83.50052469837662,Tifton
200363905,,,
17110,40.3126021894061,-76.86939908437667,Susquehanna Township
